Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/mine,22,0,660,1505.7102974123236,615.9954589093104,10841.294333920814,1240.6363636363637,0.3718723605133997,0.0,700,730,730,750,4000,5000,11000,11000,11000,11000,11000
POST,POST /api/auth/signup,10,0,7300,7371.226600010414,3105.8917089831084,11117.77129105758,417.0,0.16903289114245443,0.0,7500,9100,9100,11000,11000,11000,11000,11000,11000,11000,11000
POST,POST /api/orders,44,0,7100,8175.362033137141,6389.425624976866,21083.565542008728,715.9090909090909,0.7437447210267994,0.0,7200,7800,8200,8300,12000,12000,21000,21000,21000,21000,21000
GET,[warmup] /api/health,10,0,3600,3084.5369668095373,484.0073330560699,4445.132875000127,38.0,0.16903289114245443,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
,Aggregated,86,0,6700,5783.711531038429,484.0073330560699,21083.565542008728,736.5581395348837,1.453682863825108,0.0,6700,7200,7700,7800,9200,12000,20000,21000,21000,21000,21000
