Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/mine,12,0,630,738.9422012590027,610.2815410122275,1283.8469999842346,1375.1666666666667,0.20292784939200262,0.0,650,710,750,750,1000,1300,1300,1300,1300,1300,1300
POST,POST /api/auth/signup,50,46,80,294.4823650154285,54.72866597119719,3287.7157499315217,5367.22,0.8455327058000109,0.7778900893360101,80,86,87,90,110,2500,3300,3300,3300,3300,3300
POST,POST /api/orders,19,0,7600,8193.776443055342,6763.089666957967,11244.578499929048,716.2105263157895,0.3213024282040042,0.0,7600,8200,8900,8900,11000,11000,11000,11000,11000,11000,11000
GET,[warmup] /api/health,50,49,93,106.58792749745771,59.260624926537275,984.1838750289753,5456.16,0.8455327058000109,0.8286220516840107,93,96,97,99,110,110,980,980,980,980,980
,Aggregated,131,95,92,1409.1799500672048,54.72866597119719,11244.578499929048,4360.908396946565,2.215295689196029,1.606512141020021,92,99,630,750,7200,8200,11000,11000,11000,11000,11000
