Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788673115,10,,Aggregated,1.300000,0.000000,4400,7500,9100,11000,12000,20000,21000,21000,21000,21000,21000,38,0,4400,6060.544516529741,484.0073330560699,21083.565542008728,346.6842105263158
1788673116,10,,Aggregated,1.500000,0.000000,4400,7500,9100,11000,12000,20000,21000,21000,21000,21000,21000,39,0,4400,6135.539354798265,484.0073330560699,21083.565542008728,356.15384615384613
1788673117,10,,Aggregated,1.400000,0.000000,4400,8300,9100,9200,12000,12000,21000,21000,21000,21000,21000,41,0,4400,6075.254771421187,484.0073330560699,21083.565542008728,373.7560975609756
1788673118,10,,Aggregated,1.400000,0.000000,4400,7500,9100,9200,12000,12000,21000,21000,21000,21000,21000,42,0,4400,5947.660579434818,484.0073330560699,21083.565542008728,381.95238095238096
1788673119,10,,Aggregated,1.400000,0.000000,4400,7500,9100,9200,12000,12000,21000,21000,21000,21000,21000,43,0,4400,5980.853529146136,484.0073330560699,21083.565542008728,389.72093023255815
1788673120,10,,Aggregated,1.500000,0.000000,5000,7500,9100,9200,12000,12000,21000,21000,21000,21000,21000,44,0,4400,6001.318409165833,484.0073330560699,21083.565542008728,397.1363636363636
1788673121,10,,Aggregated,1.600000,0.000000,5100,7400,9100,9100,12000,12000,21000,21000,21000,21000,21000,46,0,5000,6031.290552614298,484.0073330560699,21083.565542008728,411.0
1788673122,10,,Aggregated,1.700000,0.000000,6500,7500,9000,9100,12000,12000,21000,21000,21000,21000,21000,50,0,5100,6012.2266567265615,484.0073330560699,21083.565542008728,449.86
1788673123,10,,Aggregated,1.900000,0.000000,6500,7400,9000,9100,11000,12000,20000,21000,21000,21000,21000,51,0,6500,6025.184200220632,484.0073330560699,21083.565542008728,455.078431372549
1788673124,10,,Aggregated,2.000000,0.000000,6500,7400,9000,9100,11000,12000,20000,21000,21000,21000,21000,52,0,5100,5921.161339810798,484.0073330560699,21083.565542008728,473.9230769230769
1788673125,10,,Aggregated,1.900000,0.000000,5100,7300,8300,9100,11000,12000,20000,21000,21000,21000,21000,53,0,5100,5821.364727266625,484.0073330560699,21083.565542008728,492.0566037735849
1788673126,10,,Aggregated,1.600000,0.000000,6500,7400,8300,9100,11000,12000,20000,21000,21000,21000,21000,55,0,6500,5870.6248084231365,484.0073330560699,21083.565542008728,500.2
1788673127,10,,Aggregated,1.600000,0.000000,6500,7300,8300,9100,11000,12000,20000,21000,21000,21000,21000,56,0,6500,5890.688311842886,484.0073330560699,21083.565542008728,504.05357142857144
1788673128,10,,Aggregated,1.600000,0.000000,6500,7300,7800,9100,11000,12000,20000,21000,21000,21000,21000,57,0,6500,5800.214250092068,484.0073330560699,21083.565542008728,520.3859649122807
1788673129,10,,Aggregated,1.600000,0.000000,6600,7300,7800,9100,11000,12000,20000,21000,21000,21000,21000,60,0,6500,5867.833465353276,484.0073330560699,21083.565542008728,530.1
1788673130,10,,Aggregated,1.600000,0.000000,6600,7300,7800,9000,11000,12000,20000,21000,21000,21000,21000,61,0,6600,5885.423289003141,484.0073330560699,21083.565542008728,533.1475409836065
1788673131,10,,Aggregated,1.500000,0.000000,6700,7300,7800,9000,11000,12000,20000,21000,21000,21000,21000,62,0,6600,5909.480755438938,484.0073330560699,21083.565542008728,536.0967741935484
1788673132,10,,Aggregated,1.800000,0.000000,6700,7400,7800,9000,11000,12000,20000,21000,21000,21000,21000,63,0,6700,5937.89343457366,484.0073330560699,21083.565542008728,538.952380952381
1788673133,10,,Aggregated,1.800000,0.000000,6700,7400,7800,9000,11000,12000,20000,21000,21000,21000,21000,64,0,6600,5947.258052781763,484.0073330560699,21083.565542008728,541.78125
1788673134,10,,Aggregated,1.400000,0.000000,6700,7300,7700,8300,11000,12000,20000,21000,21000,21000,21000,66,0,6600,5972.72490787983,484.0073330560699,21083.565542008728,547.0
1788673135,10,,Aggregated,1.400000,0.000000,6700,7300,7700,8300,11000,12000,20000,21000,21000,21000,21000,66,0,6600,5972.72490787983,484.0073330560699,21083.565542008728,547.0
1788673136,10,,Aggregated,1.300000,0.000000,6700,7300,7700,8300,11000,12000,20000,21000,21000,21000,21000,69,0,6700,6004.889333973288,484.0073330560699,21083.565542008728,554.3478260869565
1788673137,10,,Aggregated,1.300000,0.000000,6700,7300,7700,8300,11000,12000,20000,21000,21000,21000,21000,69,0,6700,6004.889333973288,484.0073330560699,21083.565542008728,554.3478260869565
1788673138,10,,Aggregated,1.200000,0.000000,6700,7300,7700,8200,11000,12000,20000,21000,21000,21000,21000,71,0,6700,6047.710637947295,484.0073330560699,21083.565542008728,558.9014084507043
1788673139,10,,Aggregated,1.300000,0.000000,6800,7300,7800,8200,11000,12000,20000,21000,21000,21000,21000,72,0,6700,6072.388209530294,484.0073330560699,21083.565542008728,561.0277777777778
1788673140,10,,Aggregated,1.300000,0.000000,6700,7300,7700,8200,11000,12000,20000,21000,21000,21000,21000,73,0,6700,6080.808675838379,484.0073330560699,21083.565542008728,563.1506849315068
1788673141,10,,Aggregated,1.300000,0.000000,6700,7300,7700,7900,11000,12000,20000,21000,21000,21000,21000,77,0,6700,5968.949463768778,484.0073330560699,21083.565542008728,626.961038961039
1788673142,10,,Aggregated,1.300000,0.000000,6700,7300,7700,7900,11000,12000,20000,21000,21000,21000,21000,78,0,6700,5976.363662413906,484.0073330560699,21083.565542008728,628.1025641025641
1788673143,10,,Aggregated,1.100000,0.000000,6700,7300,7700,7900,11000,12000,20000,21000,21000,21000,21000,79,0,6700,5908.915817534221,484.0073330560699,21083.565542008728,656.5189873417721
1788673144,10,,Aggregated,1.600000,0.000000,6700,7200,7700,7900,11000,12000,20000,21000,21000,21000,21000,80,0,6700,5924.677725552465,484.0073330560699,21083.565542008728,657.2625
1788673145,10,,Aggregated,1.400000,0.000000,6700,7200,7700,7900,9200,12000,20000,21000,21000,21000,21000,84,0,6700,5905.027976716935,484.0073330560699,21083.565542008728,685.7380952380952
1788673146,10,,Aggregated,1.500000,0.000000,6700,7200,7700,7800,9200,12000,20000,21000,21000,21000,21000,86,0,6700,5783.711531038429,484.0073330560699,21083.565542008728,736.5581395348837
