Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/mine,38,0,2300,2218.9012708258815,621.2215420091525,4373.289791983552,3360.7631578947367,0.652706771129802,0.0,2300,2500,2800,3100,3900,4300,4400,4400,4400,4400,4400
POST,POST /api/auth/signup,10,0,6800,6381.049262487795,3500.8279170142487,9722.321167006157,417.0,0.17176493977100052,0.0,7000,7200,7900,8100,9700,9700,9700,9700,9700,9700,9700
POST,POST /api/orders,86,0,2800,3170.7082427767386,970.0386669719592,10902.136375079863,716.1395348837209,1.4771784820306046,0.0,2900,3700,4100,4200,5300,6500,7700,11000,11000,11000,11000
GET,[warmup] /api/health,10,0,3300,3504.475058207754,565.6572910957038,7335.149958962575,38.0,0.17176493977100052,0.0,3400,4000,4000,7300,7300,7300,7300,7300,7300,7300,7300
,Aggregated,144,0,2800,3165.655558174573,565.6572910957038,10902.136375079863,1346.1597222222222,2.4734151327024074,0.0,2800,3600,4000,4200,5700,7200,8100,9700,11000,11000,11000
