Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/orders/mine,154,154,83,99.98126843545053,22.79995905701071,375.470667029731,5529.038961038961,2.6022269683310535,2.6022269683310535,83,92,99,100,170,260,340,350,380,380,380
POST,POST /api/auth/signup,30,2,28000,23096.280854276847,244.51041605789214,32930.870125070214,389.2,0.5069273314930623,0.03379515543287082,28000,28000,28000,28000,33000,33000,33000,33000,33000,33000,33000
POST,POST /api/orders,381,376,79,633.7433414123683,21.114166942425072,41632.88654095959,5752.643044619423,6.437977109961892,6.353489221379715,79,88,94,100,150,250,330,41000,42000,42000,42000
GET,[warmup] /api/health,30,0,4600,5807.732576496589,508.04862508084625,33521.56379201915,38.0,0.5069273314930623,0.0,4600,5600,5600,6600,6600,31000,34000,34000,34000,34000,34000
,Aggregated,595,532,83,1889.0314812443273,21.114166942425072,41632.88654095959,5136.210084033613,10.054058741279071,8.98951134514364,83,95,110,150,580,28000,28000,34000,42000,42000,42000
